---------------------------- PROCESS STARTED (19913) for package com.progetto.tesi ----------------------------
2022-12-01 09:09:45.045 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:45.115 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:45.115 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:45.135 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:45.135 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:45.145 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:45.145 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:45.207 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:45.207 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:45.211 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:45.211 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:45.241 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:45.241 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:45.811 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:45.811 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:45.897 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:45.897 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:45.917 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:45.917 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:45.924 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:45.924 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:46.043 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:46.043 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:46.461 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:46.461 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:46.472 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:46.472 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:46.577 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:46.577 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:46.602 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:46.602 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:46.612 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:46.612 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:46.618 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:46.618 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:46.643 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:46.643 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:47.807 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:47.807 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:47.873 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:47.873 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:47.879 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:47.879 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:47.888 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:47.888 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:48.125 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:48.125 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:48.175 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:48.175 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:48.186 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:48.186 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:48.211 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:48.211 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:48.221 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:48.221 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:48.226 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:48.226 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:48.266 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:48.266 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:48.271 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:48.271 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:48.307 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:48.307 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:48.343 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:48.343 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:48.364 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:48.364 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:48.382 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:48.382 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:48.504 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:48.504 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:48.530 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:48.530 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:48.634 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:48.634 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:48.639 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:48.639 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:48.659 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:48.659 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:48.670 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:48.670 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
