---------------------------- PROCESS STARTED (21585) for package com.progetto.tesi ----------------------------
2022-11-29 11:14:16.421 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:16.460 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 0
2022-11-29 11:14:16.460 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:17.206 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:17.206 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:17.251 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 0
2022-11-29 11:14:17.251 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:17.257 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:17.257 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:17.692 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 0
2022-11-29 11:14:17.692 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:17.705 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:17.705 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:17.711 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 0
2022-11-29 11:14:17.711 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:17.715 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:17.715 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:17.735 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 0
2022-11-29 11:14:17.735 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:17.745 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 0
2022-11-29 11:14:17.745 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:17.750 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:17.750 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:17.780 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 0
2022-11-29 11:14:17.780 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:17.785 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:17.785 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:19.462 21585-21585 System.out              com.progetto.tesi                    I  UsbChecker: ischarg: false usbcharg: false accharge: false
2022-11-29 11:14:19.553 21585-21585 System.out              com.progetto.tesi                    I  UsbChecker: ischarg: false usbcharg: false accharge: false
2022-11-29 11:14:19.928 21585-21585 System.out              com.progetto.tesi                    I  UsbChecker: ischarg: false usbcharg: true accharge: false
2022-11-29 11:14:19.992 21585-21585 System.out              com.progetto.tesi                    I  UsbChecker: ischarg: false usbcharg: true accharge: false
2022-11-29 11:14:19.998 21585-21585 System.out              com.progetto.tesi                    I  UsbChecker: ischarg: false usbcharg: true accharge: false
2022-11-29 11:14:20.266 21585-21585 System.out              com.progetto.tesi                    I  UsbChecker: ischarg: true usbcharg: true accharge: false
2022-11-29 11:14:22.815 21585-21585 System.out              com.progetto.tesi                    I  onresume
2022-11-29 11:14:22.882 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 90 Pitch 0 Roll 359
2022-11-29 11:14:22.883 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth EAST Pitch EAST Roll NORTH
2022-11-29 11:14:22.890 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:22.890 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:22.912 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 359
2022-11-29 11:14:22.912 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:23.114 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 0
2022-11-29 11:14:23.115 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:23.124 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 359
2022-11-29 11:14:23.124 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:23.134 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 0
2022-11-29 11:14:23.134 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
